"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",5000,25,0.1,8,2,0.001,0,0,0,46,46,4954,10,10,0
"mmm","bglm",5000,50,0.1,8,2,0.001,0,0,0,104,103,4897,24,24,0
"mmm","bglm",5000,100,0.1,8,2,0.001,0,0,0,137,134,4866,33,33,0
"mmm","bglm",5000,25,0.1,2,8,0.001,0,0,0,10,10,4990,54,54,0
"mmm","bglm",5000,50,0.1,2,8,0.001,0,0,0,23,23,4977,103,101,0
"mmm","bglm",5000,100,0.1,2,8,0.001,0,0,0,37,37,4963,133,132,0
"mmm","bglm",5000,25,0.1,8,2,0.025,0,0,0,48,47,4953,34,34,0
"mmm","bglm",5000,50,0.1,8,2,0.025,0,0,0,97,97,4903,60,60,0
"mmm","bglm",5000,100,0.1,8,2,0.025,0,0,0,145,142,4858,139,138,1
"mmm","bglm",5000,25,0.1,2,8,0.025,0,0,0,8,8,4992,114,114,0
"mmm","bglm",5000,50,0.1,2,8,0.025,0,0,0,28,28,4972,253,248,0
"mmm","bglm",5000,100,0.1,2,8,0.025,0,0,0,31,31,4969,553,520,0
"mmm","bglm",5000,25,0.1,8,2,0.05,0,0,0,45,45,4955,75,75,0
"mmm","bglm",5000,50,0.1,8,2,0.05,0,0,0,97,96,4904,224,219,5
"mmm","bglm",5000,100,0.1,8,2,0.05,0,0,0,149,145,4855,589,572,17
"mmm","bglm",5000,25,0.1,2,8,0.05,0,0,0,6,6,4994,276,271,0
"mmm","bglm",5000,50,0.1,2,8,0.05,0,0,0,21,21,4979,878,822,0
"mmm","bglm",5000,100,0.1,2,8,0.05,0,0,0,41,41,4959,2189,1821,0
"mmm","bglm",5000,25,0.1,8,2,0.075,0,0,0,38,38,4962,240,238,2
"mmm","bglm",5000,50,0.1,8,2,0.075,0,0,0,81,79,4921,648,626,22
"mmm","bglm",5000,100,0.1,8,2,0.075,0,0,0,142,141,4859,1831,1652,179
"mmm","bglm",5000,25,0.1,2,8,0.075,0,0,0,10,10,4990,799,742,0
"mmm","bglm",5000,50,0.1,2,8,0.075,0,0,0,28,28,4972,2587,2061,0
"mmm","bglm",5000,100,0.1,2,8,0.075,0,0,0,31,31,4969,7603,4046,0
"mmm","bglm",5000,25,0.1,8,2,0.1,0,0,0,43,43,4957,541,523,18
"mmm","bglm",5000,50,0.1,8,2,0.1,0,0,0,101,100,4900,1606,1462,144
"mmm","bglm",5000,100,0.1,8,2,0.1,0,0,0,137,135,4865,4557,3531,1026
"mmm","bglm",5000,25,0.1,2,8,0.1,0,0,0,13,13,4987,2111,1769,0
"mmm","bglm",5000,50,0.1,2,8,0.1,0,0,0,25,25,4975,6666,3815,0
"mmm","bglm",5000,100,0.1,2,8,0.1,0,0,0,30,30,4970,18185,4959,4
"mmm","bglm",5000,25,0.1,8,2,0.125,0,0,0,36,35,4965,1118,1072,46
"mmm","bglm",5000,50,0.1,8,2,0.125,0,0,0,91,90,4910,3486,2892,594
"mmm","bglm",5000,100,0.1,8,2,0.125,0,0,0,152,151,4849,7606,4718,2888
"mmm","bglm",5000,25,0.1,2,8,0.125,0,0,0,13,13,4987,4800,3210,0
"mmm","bglm",5000,50,0.1,2,8,0.125,0,0,0,28,28,4972,13834,4844,1
"mmm","bglm",5000,100,0.1,2,8,0.125,0,0,0,33,33,4967,30341,5000,541
"mmm","bglm",5000,25,0.1,8,2,0.15,0,0,0,40,40,4960,2316,2047,269
"mmm","bglm",5000,50,0.1,8,2,0.15,0,0,0,88,86,4914,5817,4134,1683
"mmm","bglm",5000,100,0.1,8,2,0.15,0,0,0,158,154,4846,9447,4988,4459
"mmm","bglm",5000,25,0.1,2,8,0.15,0,0,0,10,10,4990,9237,4367,0
"mmm","bglm",5000,50,0.1,2,8,0.15,0,0,0,28,28,4972,23643,4995,79
"mmm","bglm",5000,100,0.1,2,8,0.15,0,0,0,44,44,4956,37667,5000,3066
"mmm","bglm",5000,25,0.1,8,2,0.175,0,0,0,31,31,4969,3919,3134,785
"mmm","bglm",5000,50,0.1,8,2,0.175,0,0,0,75,74,4926,8127,4808,3319
"mmm","bglm",5000,100,0.1,8,2,0.175,0,0,0,143,142,4858,9922,5000,4922
"mmm","bglm",5000,25,0.1,2,8,0.175,0,0,0,14,14,4986,15452,4893,2
"mmm","bglm",5000,50,0.1,2,8,0.175,0,0,0,20,20,4980,32294,5000,884
"mmm","bglm",5000,100,0.1,2,8,0.175,0,0,0,23,23,4977,39750,5000,4756
"mmm","bglm",5000,25,0.1,8,2,0.2,0,0,0,40,40,4960,5815,4157,1658
"mmm","bglm",5000,50,0.1,8,2,0.2,0,0,0,108,108,4892,9399,4986,4413
"mmm","bglm",5000,100,0.1,8,2,0.2,0,0,0,137,135,4865,9995,5000,4995
"mmm","bglm",5000,25,0.1,2,8,0.2,0,0,0,9,9,4991,23234,4994,61
"mmm","bglm",5000,50,0.1,2,8,0.2,0,0,0,21,21,4979,37603,5000,3042
"mmm","bglm",5000,100,0.1,2,8,0.2,0,0,0,29,29,4971,39982,5000,4982
"mmm","bglm",5000,25,0.1,8,2,0.001,0.5,0,0,54,49,4951,20,19,1
"mmm","bglm",5000,50,0.1,8,2,0.001,0.5,0,0,129,108,4892,27,27,0
"mmm","bglm",5000,100,0.1,8,2,0.001,0.5,0,0,166,136,4864,42,42,0
"mmm","bglm",5000,25,0.1,2,8,0.001,0.5,0,0,13,12,4988,52,45,0
"mmm","bglm",5000,50,0.1,2,8,0.001,0.5,0,0,37,35,4965,113,85,0
"mmm","bglm",5000,100,0.1,2,8,0.001,0.5,0,0,38,36,4964,163,138,0
"mmm","bglm",5000,25,0.1,8,2,0.025,0.5,0,0,51,42,4958,25,22,3
"mmm","bglm",5000,50,0.1,8,2,0.025,0.5,0,0,128,105,4895,96,89,7
"mmm","bglm",5000,100,0.1,8,2,0.025,0.5,0,0,169,131,4869,143,130,13
"mmm","bglm",5000,25,0.1,2,8,0.025,0.5,0,0,23,22,4978,137,106,0
"mmm","bglm",5000,50,0.1,2,8,0.025,0.5,0,0,34,32,4968,314,225,0
"mmm","bglm",5000,100,0.1,2,8,0.025,0.5,0,0,38,35,4965,532,351,0
"mmm","bglm",5000,25,0.1,8,2,0.05,0.5,0,0,44,38,4962,104,95,9
"mmm","bglm",5000,50,0.1,8,2,0.05,0.5,0,0,115,90,4910,275,250,25
"mmm","bglm",5000,100,0.1,8,2,0.05,0.5,0,0,137,117,4883,644,546,98
"mmm","bglm",5000,25,0.1,2,8,0.05,0.5,0,0,8,8,4992,407,279,0
"mmm","bglm",5000,50,0.1,2,8,0.05,0.5,0,0,26,25,4975,1003,617,0
"mmm","bglm",5000,100,0.1,2,8,0.05,0.5,0,0,36,33,4967,2368,1251,5
"mmm","bglm",5000,25,0.1,8,2,0.075,0.5,0,0,55,46,4954,251,229,22
"mmm","bglm",5000,50,0.1,8,2,0.075,0.5,0,0,109,89,4911,791,676,115
"mmm","bglm",5000,100,0.1,8,2,0.075,0.5,0,0,160,139,4861,2117,1663,454
"mmm","bglm",5000,25,0.1,2,8,0.075,0.5,0,0,25,24,4976,943,593,0
"mmm","bglm",5000,50,0.1,2,8,0.075,0.5,0,0,26,25,4975,3168,1504,4
"mmm","bglm",5000,100,0.1,2,8,0.075,0.5,0,0,46,45,4955,8157,2871,60
"mmm","bglm",5000,25,0.1,8,2,0.1,0.5,0,0,52,46,4954,603,536,67
"mmm","bglm",5000,50,0.1,8,2,0.1,0.5,0,0,126,101,4899,2011,1555,456
"mmm","bglm",5000,100,0.1,8,2,0.1,0.5,0,0,142,113,4887,4737,3220,1517
"mmm","bglm",5000,25,0.1,2,8,0.1,0.5,0,0,11,11,4989,2413,1245,2
"mmm","bglm",5000,50,0.1,2,8,0.1,0.5,0,0,21,21,4979,7715,2815,48
"mmm","bglm",5000,100,0.1,2,8,0.1,0.5,0,0,36,35,4965,19001,4316,473
"mmm","bglm",5000,25,0.1,8,2,0.125,0.5,0,0,51,42,4958,1310,1088,222
"mmm","bglm",5000,50,0.1,8,2,0.125,0.5,0,0,114,93,4907,3828,2755,1073
"mmm","bglm",5000,100,0.1,8,2,0.125,0.5,0,0,181,151,4849,7786,4491,3295
"mmm","bglm",5000,25,0.1,2,8,0.125,0.5,0,0,20,20,4980,5114,2155,15
"mmm","bglm",5000,50,0.1,2,8,0.125,0.5,0,0,44,43,4957,15334,3975,288
"mmm","bglm",5000,100,0.1,2,8,0.125,0.5,0,0,36,36,4964,31082,4922,1907
"mmm","bglm",5000,25,0.1,8,2,0.15,0.5,0,0,60,48,4952,2465,1889,576
"mmm","bglm",5000,50,0.1,8,2,0.15,0.5,0,0,120,101,4899,6334,3945,2389
"mmm","bglm",5000,100,0.1,8,2,0.15,0.5,0,0,162,135,4865,9471,4929,4542
"mmm","bglm",5000,25,0.1,2,8,0.15,0.5,0,0,9,9,4991,9613,3150,79
"mmm","bglm",5000,50,0.1,2,8,0.15,0.5,0,0,31,29,4971,25208,4756,1020
"mmm","bglm",5000,100,0.1,2,8,0.15,0.5,0,0,37,35,4965,37943,4997,3901
"mmm","bglm",5000,25,0.1,8,2,0.175,0.5,0,0,43,37,4963,4121,2848,1273
"mmm","bglm",5000,50,0.1,8,2,0.175,0.5,0,0,124,103,4897,8353,4654,3699
"mmm","bglm",5000,100,0.1,8,2,0.175,0.5,0,0,175,147,4853,9952,4997,4955
"mmm","bglm",5000,25,0.1,2,8,0.175,0.5,0,0,8,7,4993,15883,4028,312
"mmm","bglm",5000,50,0.1,2,8,0.175,0.5,0,0,31,29,4971,33289,4945,2380
"mmm","bglm",5000,100,0.1,2,8,0.175,0.5,0,0,49,46,4954,39765,5000,4817
"mmm","bglm",5000,25,0.1,8,2,0.2,0.5,0,0,64,51,4949,6034,3819,2215
"mmm","bglm",5000,50,0.1,8,2,0.2,0.5,0,0,114,101,4899,9490,4937,4553
"mmm","bglm",5000,100,0.1,8,2,0.2,0.5,0,0,162,129,4871,9996,5000,4996
"mmm","bglm",5000,25,0.1,2,8,0.2,0.5,0,0,20,20,4980,23415,4644,800
"mmm","bglm",5000,50,0.1,2,8,0.2,0.5,0,0,31,30,4970,37902,4998,3857
"mmm","bglm",5000,100,0.1,2,8,0.2,0.5,0,0,50,48,4952,39981,5000,4985
"mmm","bglm",5000,25,0.1,8,2,0.001,0.9,0,0,159,62,4938,51,36,15
"mmm","bglm",5000,50,0.1,8,2,0.001,0.9,0,0,256,91,4909,80,62,18
"mmm","bglm",5000,100,0.1,8,2,0.001,0.9,0,0,337,138,4862,96,72,24
"mmm","bglm",5000,25,0.1,2,8,0.001,0.9,0,0,49,33,4967,167,55,2
"mmm","bglm",5000,50,0.1,2,8,0.001,0.9,0,0,50,39,4961,295,103,7
"mmm","bglm",5000,100,0.1,2,8,0.001,0.9,0,0,95,69,4931,331,120,8
"mmm","bglm",5000,25,0.1,8,2,0.025,0.9,0,0,210,66,4934,94,67,27
"mmm","bglm",5000,50,0.1,8,2,0.025,0.9,0,0,322,105,4895,155,113,42
"mmm","bglm",5000,100,0.1,8,2,0.025,0.9,0,0,402,127,4873,290,196,94
